INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	兵种小类	兵种名称	兵种类型(1步 2骑 3弓)	兵种等级	升阶需要科技院等级	 升阶需要的金币	 升阶需要的食物	升阶需要的时间	兵种被杀死对方获得经验	兵种生命值           	兵种攻击力	兵种防御力 	兵种魔法抗性	 购买需要的金币	 购买需要的食物	购买需要的时间（毫秒）	战斗形象（1剑盾，2弓，3十字弓，4枪械，5单手斧，6双持斧，7锤，8低级长枪，9中级长枪，10高级长枪）
#id	category	name	type	level	scienceLevel	upgradeCostCoin	upgradeCostFood	upgradeCostTime	experience	life	attack	defense	resistance	trainCostCoin	trainCostFood	trainCostTime	animation
11101	111	Troop_11101	1	0	0	0	0	0	10	10	4	3	1	3	5	0	37
11102	111	Troop_11102	1	1	1	0	3000	14400	15	12	5	5	1	4	8	0	37
11103	111	Troop_11103	1	2	2	0	15000	21600	20	15	8	6	2	7	12	0	37
11104	111	Troop_11104	1	3	3	0	50000	43200	25	18	9	8	2	8	16	0	37
11105	111	Troop_11105	1	4	4	0	150000	86400	30	21	10	10	3	9	20	0	37
11106	111	Troop_11106	1	5	5	0	500000	172800	35	22	11	12	3	10	24	0	37
11107	111	Troop_11107	1	6	6	0	1000000	259200	30	27	13	13	4	11	28	0	37
11108	111	Troop_11108	1	7	7	0	1500000	388800	40	29	15	15	4	12	32	0	37
11109	111	Troop_11109	1	8	8	0	2500000	518400	45	32	17	17	5	13	36	0	37
11110	111	Troop_11110	1	9	9	0	3500000	691200	50	34	18	18	5	14	40	0	37
11201	112	Troop_11201	1	1	1	0	3000	14400	15	11	6	2	1	5	8	0	2
11202	112	Troop_11202	1	2	2	0	15000	21600	20	15	9	3	2	7	12	0	2
11203	112	Troop_11203	1	3	3	0	50000	43200	25	18	11	3	2	8	17	0	2
11204	112	Troop_11204	1	4	4	0	150000	86400	30	21	13	3	3	9	20	0	3
11205	112	Troop_11205	1	5	5	0	500000	172800	35	21	16	3	3	10	24	0	3
11206	112	Troop_11206	1	6	6	0	1000000	259200	30	26	18	4	4	11	26	0	3
11207	112	Troop_11207	1	7	7	0	1500000	388800	40	27	22	5	4	12	32	0	3
11208	112	Troop_11208	1	8	8	0	2500000	518400	45	28	27	6	5	13	36	0	3
11209	112	Troop_11209	1	9	9	0	3500000	691200	50	28	30	7	5	14	38	0	3
11301	113	Troop_11301	1	4	4	0	150000	86400	30	30	6	17	9	9	20	0	4
11302	113	Troop_11302	1	5	5	0	500000	172800	35	30	7	18	10	10	24	0	4
11303	113	Troop_11303	1	6	6	0	1000000	259200	30	34	9	19	12	11	28	0	4
11304	113	Troop_11304	1	7	7	0	1500000	388800	40	34	11	21	15	12	32	0	4
11305	113	Troop_11305	1	8	8	0	2500000	518400	45	35	13	23	16	13	36	0	4
11306	113	Troop_11306	1	9	9	0	3500000	691200	50	35	15	25	20	14	40	0	4
12101	121	Troop_12101	2	0	0	0	0	0	10	10	5	4	1	3	5	0	6
12102	121	Troop_12102	2	1	1	0	3000	14400	15	10	7	6	1	4	8	0	6
12103	121	Troop_12103	2	2	2	0	15000	21600	20	14	10	7	1	7	12	0	6
12104	121	Troop_12104	2	3	3	0	50000	43200	25	17	12	7	1	8	16	0	6
12105	121	Troop_12105	2	4	4	0	150000	86400	30	20	13	8	2	9	20	0	6
12106	121	Troop_12106	2	5	5	0	500000	172800	35	22	15	8	2	10	24	0	6
12107	121	Troop_12107	2	6	6	0	1000000	259200	30	27	17	9	2	11	28	0	6
12108	121	Troop_12108	2	7	7	0	1500000	388800	40	29	20	11	2	12	32	0	6
12109	121	Troop_12109	2	8	8	0	2500000	518400	45	31	23	13	2	13	36	0	6
12110	121	Troop_12110	2	9	9	0	3500000	691200	50	31	25	14	2	14	40	0	6
12201	122	Troop_12201	2	2	2	0	15000	21600	20	16	8	11	1	6	12	0	5
12202	122	Troop_12202	2	3	3	0	50000	43200	25	17	10	12	1	8	16	0	5
12203	122	Troop_12203	2	4	4	0	150000	86400	30	20	11	13	2	9	20	0	5
12204	122	Troop_12204	2	5	5	0	500000	172800	35	23	12	14	2	10	24	0	5
12205	122	Troop_12205	2	6	6	0	1000000	259200	30	30	13	15	2	11	28	0	5
12206	122	Troop_12206	2	7	7	0	1500000	388800	40	34	15	17	2	12	32	0	5
12207	122	Troop_12207	2	8	8	0	2500000	518400	45	36	18	19	2	13	36	0	5
12208	122	Troop_12208	2	9	9	0	3500000	691200	50	36	19	21	10	14	40	0	5
12301	123	Troop_12301	2	5	5	0	500000	172800	35	24	12	12	10	9	24	0	11
12302	123	Troop_12302	2	6	6	0	1000000	259200	30	31	13	13	12	12	28	0	11
12303	123	Troop_12303	2	7	7	0	1500000	388800	40	35	15	15	15	13	32	0	11
12304	123	Troop_12304	2	8	8	0	2500000	518400	45	36	18	17	16	14	36	0	11
12305	123	Troop_12305	2	9	9	0	3500000	691200	50	36	19	18	20	15	40	0	11
13101	131	Troop_13101	3	0	0	0	0	0	10	8	3	2	3	3	5	0	8
13102	131	Troop_13102	3	1	1	0	2000	14400	15	8	5	3	5	4	8	0	8
13103	131	Troop_13103	3	2	2	0	15000	21600	20	12	7	4	6	8	12	0	8
13104	131	Troop_13104	3	3	3	0	50000	43200	25	16	8	5	7	9	16	0	8
13105	131	Troop_13105	3	4	4	0	150000	86400	30	19	9	6	8	10	20	0	8
13106	131	Troop_13106	3	5	5	0	500000	172800	35	22	10	7	10	11	24	0	8
13107	131	Troop_13107	3	6	6	0	1000000	259200	30	25	12	8	12	11	28	0	8
13108	131	Troop_13108	3	7	7	0	1500000	388800	40	27	14	9	14	12	32	0	8
13109	131	Troop_13109	3	8	8	0	2500000	518400	45	31	16	10	16	13	36	0	8
13110	131	Troop_13110	3	9	9	0	3500000	691200	50	31	18	11	20	14	40	0	8
13201	132	Troop_13201	3	3	3	0	50000	43200	25	23	5	12	3	8	16	0	9
13202	132	Troop_13202	3	4	4	0	150000	86400	30	24	6	12	4	10	20	0	9
13203	132	Troop_13203	3	5	5	0	500000	172800	35	24	8	13	5	11	24	0	9
13204	132	Troop_13204	3	6	6	0	1000000	259200	30	26	10	14	6	11	28	0	9
13205	132	Troop_13205	3	7	7	0	1500000	388800	40	27	12	15	7	12	32	0	9
13206	132	Troop_13206	3	8	8	0	2500000	518400	45	34	13	16	8	13	36	0	9
13207	132	Troop_13207	3	9	9	0	3500000	691200	50	34	15	16	10	14	40	0	9
13301	133	Troop_13301	3	6	6	0	1000000	259200	30	26	11	13	0	11	28	0	10
13302	133	Troop_13302	3	7	7	0	1500000	388800	40	26	13	14	0	12	32	0	10
13303	133	Troop_13303	3	8	8	0	2500000	518400	45	32	14	15	0	13	36	0	10
13304	133	Troop_13304	3	9	9	0	3500000	691200	50	32	16	15	0	14	40	0	10
20001	0	Troop_20001	1	0	0	0	0	0	3	3	3	1	1	0	0	0	1
20002	0	Troop_20002	1	0	0	0	0	0	4	3	4	1	1	0	0	0	25
20003	0	Troop_20003	1	0	0	0	0	0	6	4	4	1	1	0	0	0	25
20004	0	Troop_20004	1	0	0	0	0	0	9	4	4	1	1	0	0	0	19
20005	0	Troop_20005	1	0	0	0	0	0	11	5	5	2	1	0	0	0	25
20006	0	Troop_20006	1	0	0	0	0	0	13	5	5	2	1	0	0	0	32
20007	0	Troop_20007	2	0	0	0	0	0	17	6	4	2	1	0	0	0	5
20008	0	Troop_20008	3	0	0	0	0	0	17	7	2	2	1	0	0	0	21
20009	0	Troop_20009	1	0	0	0	0	0	20	6	5	2	1	0	0	0	35
20010	0	Troop_20010	1	0	0	0	0	0	22	6	5	3	2	0	0	0	17
20011	0	Troop_20011	3	0	0	0	0	0	22	7	2	3	2	0	0	0	18
20012	0	Troop_20012	2	0	0	0	0	0	22	6	4	3	2	0	0	0	26
20013	0	Troop_20013	2	0	0	0	0	0	23	7	6	3	2	0	0	0	14
20014	0	Troop_20014	1	0	0	0	0	0	23	7	5	3	2	0	0	0	1
20015	0	Troop_20015	3	0	0	0	0	0	23	8	2	4	2	0	0	0	23
20016	0	Troop_20016	1	0	0	0	0	0	22	7	6	4	2	0	0	0	31
20017	0	Troop_20017	3	0	0	0	0	0	22	8	3	4	2	0	0	0	23
20018	0	Troop_20018	2	0	0	0	0	0	22	7	4	4	2	0	0	0	26
20019	0	Troop_20019	3	0	0	0	0	0	27	9	3	4	2	0	0	0	21
20020	0	Troop_20020	1	0	0	0	0	0	27	8	6	5	3	0	0	0	1
20021	0	Troop_20021	2	0	0	0	0	0	27	8	6	5	3	0	0	0	14
20022	0	Troop_20022	1	0	0	0	0	0	31	8	6	5	3	0	0	0	37
20023	0	Troop_20023	2	0	0	0	0	0	31	8	6	5	3	0	0	0	27
20024	0	Troop_20024	3	0	0	0	0	0	31	9	3	5	3	0	0	0	21
20025	0	Troop_20025	2	0	0	0	0	0	35	9	6	5	3	0	0	0	14
20026	0	Troop_20026	3	0	0	0	0	0	35	10	3	6	3	0	0	0	21
20027	0	Troop_20027	1	0	0	0	0	0	35	9	6	6	3	0	0	0	1
20028	0	Troop_20028	2	0	0	0	0	0	39	9	6	6	3	0	0	0	14
20029	0	Troop_20029	1	0	0	0	0	0	39	9	6	6	3	0	0	0	1
20030	0	Troop_20030	3	0	0	0	0	0	39	10	3	6	3	0	0	0	21
20031	0	Troop_20031	1	0	0	0	0	0	43	10	7	6	3	0	0	0	17
20032	0	Troop_20032	3	0	0	0	0	0	43	11	3	7	3	0	0	0	24
20033	0	Troop_20033	2	0	0	0	0	0	43	10	6	7	3	0	0	0	26
20034	0	Troop_20034	2	0	0	0	0	0	47	10	6	7	3	0	0	0	26
20035	0	Troop_20035	1	0	0	0	0	0	47	10	7	7	3	0	0	0	29
