INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
副本ID	副本名称	进入次数	副本重置时间（上次副本结束到下次副本开始的时间，单位为秒）	前置副本ID	消耗体力值	通关经验奖励	通关金币奖励	通关石料奖励	通关粮食奖励	通关奖励钻石几率（千分比）	通关奖励钻石个数	1怪物小兵种类1	1怪物小兵数量1	1怪物英雄1	1怪物小兵种类2	1怪物小兵数量2	1怪物英雄2	1怪物小兵种类3	1怪物小兵数量3	1怪物英雄3	1怪物小兵种类4	1怪物小兵数量4	1怪物英雄4	1怪物小兵种类5	1怪物小兵数量5	1怪物英雄5	2怪物小兵种类1	2怪物小兵数量1	2怪物英雄1	2怪物小兵种类2	2怪物小兵数量2	2怪物英雄2	2怪物小兵种类3	2怪物小兵数量3	2怪物英雄3	2怪物小兵种类4	2怪物小兵数量4	2怪物英雄4	2怪物小兵种类5	2怪物小兵数量5	2怪物英雄5	3怪物小兵种类1	3怪物小兵数量1	3怪物英雄1	3怪物小兵种类2	3怪物小兵数量2	3怪物英雄2	3怪物小兵种类3	3怪物小兵数量3	3怪物英雄3	3怪物小兵种类4	3怪物小兵数量4	3怪物英雄4	3怪物小兵种类5	3怪物小兵数量5	3怪物英雄5	地形	剧情指引
#id	name	challengeTimes	cooldownTime	preCopy	costPhysicalPower	bonusExp	bonusGoldcoins	bonusStone	bonusFood			monsterUnit1_1	monsterCount1_1	monsterHero1_1	monsterUnit1_2	monsterCount1_2	monsterHero1_2	monsterUnit1_3	monsterCount1_3	monsterHero1_3	monsterUnit1_4	monsterCount1_4	monsterHero1_4	monsterUnit1_5	monsterCount1_5	monsterHero1_5	monsterUnit2_1	monsterCount2_1	monsterHero2_1	monsterUnit2_2	monsterCount2_2	monsterHero2_2	monsterUnit2_3	monsterCount2_3	monsterHero2_3	monsterUnit2_4	monsterCount2_4	monsterHero2_4	monsterUnit2_5	monsterCount2_5	monsterHero2_5	monsterUnit3_1	monsterCount3_1	monsterHero3_1	monsterUnit3_2	monsterCount3_2	monsterHero3_2	monsterUnit3_3	monsterCount3_3	monsterHero3_3	monsterUnit3_4	monsterCount3_4	monsterHero3_4	monsterUnit3_5	monsterCount3_5	monsterHero3_5	terrain	description
1	Copy_1	99	15	0	3	10	70	70	70	1	1	20001	10	2	20001	21	1	20001	10	2																																					2	Script_1
2	Copy_2	99	16	1	3	20	80	80	80	2	1	20001	15	2	20001	33	3	20001	15	2																																					1	Script_2
3	Copy_3	99	18	2	3	30	220	220	220	3	1	20002	16	4	20002	16	4	20002	40	5	20002	16	4																																		2	Script_3
4	Copy_4	99	20	3	3	40	300	300	300	4	1	20003	23	6	20003	23	6	20003	44	7	20003	24	6																																		1	Script_4
5	Copy_5	99	1800	4	20	50	360	360	360	5	1	20004	30	168	20004	30	168	20151	50	169	20004	30	168																																		3	Script_5
6	Copy_6	99	23	4	5	60	420	420	420	6	1	20005	25	8	20005	25	8	20005	25	8	20005	50	9	20005	25	8																															1	Script_6
7	Copy_7	99	26	6	5	70	490	490	490	7	1	20006	40	10	20006	40	10	20006	35	10	20152	60	11	20006	35	10																															3	Script_7
8	Copy_8	99	29	7	5	80	560	560	560	8	1	20007	44	12	20007	44	12	20007	40	12							20007	44	12	20008	80	13	20007	44	12																						1	Script_8
9	Copy_9	99	30	8	5	90	630	630	630	9	1	20009	59	14	20009	59	14	20009	50	14							20009	59	14	20153	90	15	20009	59	14																						2	Script_9
10	Copy_10	99	34	9	5	100	700	700	700	10	1	20010	74	16	20011	74	17	20010	60	16							20010	74	16	20012	110	18	20011	74	17																						1	Script_10
11	Copy_11	99	38	10	7	110	760	760	760	11	1	20014	75	20	20013	75	19	20014	65	20							20013	75	19	20013	75	19	20015	130	21	20014	75	20																			2	Script_11
12	Copy_12	99	7200	11	30	120	830	830	830	12	1	20016	110	170	20017	110	171	20018	110	172							20016	110	170	20017	110	171	20018	110	172	20016	140	173																			1	Script_12
13	Copy_13	99	42	11	7	130	890	890	890	13	1	20020	98	23	20019	98	22	20020	100	23							20019	98	22	20019	98	22	20021	140	24	20020	98	23																			3	Script_13
14	Copy_14	99	47	13	7	140	960	960	960	14	1	20024	115	26	20022	115	25	20024	115	26							20022	115	25	20022	115	25	20023	160	27	20024	115	26																			2	Script_14
15	Copy_15	99	52	14	7	150	1030	1030	1030	15	1	20027	115	29	20026	115	28	20027	115	29	20026	120	28				20027	115	29	20026	115	28	20025	170	30	20027	115	29																			1	Script_15
16	Copy_16	99	57	15	7	160	1090	1090	1090	16	1	20030	131	33	20029	131	32	20028	131	31	20030	134	33				20029	131	32	20030	180	34	20028	131	31	20030	131	33																			2	Script_16
