INT	INT	INT	INT	INT
土地索引	购买需要粮食	购买需要石头	购买需要金币	购买需要宝石
#id	costFood	costStone	costGold	costDiamond
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	100000	100000	100000	0
18	500000	500000	500000	0
19	1000000	1000000	1000000	0
20	0	0	0	250
21	150000	150000	150000	0
22	750000	750000	750000	0
23	1500000	1500000	1500000	0
24	0	0	0	500
25	200000	200000	200000	0
26	1000000	1000000	1000000	0
27	2000000	2000000	2000000	0
28	0	0	0	1000
