INT	INT
英雄等级	升级所需经验
1	117
2	184
3	343
4	660
5	1225
6	1800
7	2600
8	3600
9	4600
10	6600
11	10887
12	12724
13	14393
14	16200
15	18475
16	30572
17	40869
18	50768
19	60695
20	120100
21	130457
22	140264
23	150043
24	160340
25	170725
26	180792
27	190159
28	200468
29	250385
30	300600
31	407827
32	506804
33	608293
34	703080
35	861975
36	945812
37	1045449
38	1161768
39	1295675
40	1348100
41	1419997
42	1512344
43	1626143
44	1762420
45	1822225
46	1906632
47	2016739
48	2153668
49	2218565
50	3012600
51	4036967
52	5092884
53	6081593
54	7004360
55	8062475
56	9057252
57	10790029
58	11562168
59	12375055
60	13000000
