INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
兵营等级	升级所需要的时间	升级所需要的金钱	升级所需要的石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	兵数量上限	自动解锁兵种 可以训练的兵种	可训练兵种的初始等级
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance		population	canTrainUnits	canTrainLevels
1	20	100	100	1	1		3	100	111	0
2	300	500	500	1	1		6	200	111|121	0|0
3	2400	1250	1250	1	2		15	300	111|121|131	0|0|0
4	6400	2500	2500	1	3		30	500	111|121|131|112	0|0|0|1
5	12000	5000	5000	1	4		45	700	111|121|131|112|122	0|0|0|1|2
6	25600	40000	40000	1	5		60	1000	111|121|131|112|122|132	0|0|0|1|2|3
7	38400	120000	120000	1	6		85	1300	111|121|131|112|122|132|113	0|0|0|1|2|3|4
8	76800	360000	360000	1	7		110	1700	111|121|131|112|122|132|113|123	0|0|0|1|2|3|4|5
9	115200	720000	720000	1	8		140	2100	111|121|131|112|122|132|113|123|133	0|0|0|1|2|3|4|5|6
