INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
厨房等级	升级所需时间	升级所需金币	升级所需石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	食物生产速度（按分钟计算）	食物存储上限	生产时间上限（分钟）
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance		foodIncrement	maxFood	
1	60	100	50	1	1	567	3	4	500	380
2	120	500	250	1	1	567	6	7	800	380
3	300	1200	600	1	2	567	12	10	1200	380
4	1600	2000	1000	1	2	567	20	14	3000	380
5	3200	4000	2000	1	3	567	30	17	20000	380
6	9600	8000	4000	1	3	567	42	22	75000	380
7	19200	30000	10000	1	4	567	57	27	122000	380
8	38400	60000	20000	1	5	567	75	31	382000	380
9	76800	120000	40000	1	6	567	94	37	592000	380
10	153600	260000	60000	1	8	567	116	42	802000	380
