INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
采石场等级	升级所需时间	升级所需金币	升级所需石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	石料生产速度（按分钟计算）	石料存储上限	生产时间上限（分钟）
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance		stoneIncrement	maxStone	
1	60	150	0	1	1		3	4	500	380
2	120	750	0	1	1		6	7	800	380
3	300	1800	0	1	2		12	10	1200	380
4	1600	3000	0	1	2		20	14	3000	380
5	3200	6000	0	1	3		30	17	20000	380
6	9600	12000	0	1	3		42	22	75000	380
7	19200	40000	0	1	4		57	27	122000	380
8	38400	80000	0	1	5		75	31	382000	380
9	76800	160000	0	1	6		94	37	592000	380
10	153600	320000	0	1	8		116	42	802000	380
