INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
酒馆等级	升级所需时间	升级所需金币	升级所需石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	解锁的英雄1	解锁的英雄2	英雄组ID(这一列由程序维护)
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance		canRecruitHero1	canRecruitHero2	HereGroup
1	300	150	150	1	1	567	10	3	4	0
2	600	500	500	1	2	567	28	19	20	1
3	900	1000	1000	1	3	567	58	9	10	2
4	2400	2500	2500	1	4	567	100	1	2	3
5	4800	10000	10000	1	4	567	154	11	12	4
6	9600	40000	40000	1	5	567	220	5	6	5
7	19200	90000	90000	1	5	567	298	13	14	6
8	28800	180000	180000	1	6	567	388	23	24	7
9	57600	360000	360000	1	6	567	490	17	18	8
10	64800	720000	720000	1	7	567	604	7	8	9
11	86400	1250000	1250000	1	7	567	730	25	26	10
12	115200	3600000	3600000	1	8	567	868	21	22	11
13	144000	3600000	3600000	1	8	567	1018	15	16	12
14	172800	3600000	3600000	1	9	567	1180	27	28	13
