INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
科技院等级	升级所需时间	升级所需金币	升级所需石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	解锁的可升级兵种	解锁兵种的等级上限
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance		canUpgradeUnits	canUpgradeUnitsLevel
1	900	9100	9100	1	3	567	15	111	1
2	7200	11000	11000	1	4	567	60	111|121	2|2
3	28800	20000	20000	1	5	567	135	111|121|131	3|3|3
4	57600	50000	50000	1	6	567	240	111|121|131|112	4|4|4|4
5	115200	100000	100000	1	7	567	375	111|121|131|112|122	5|5|5|5|5
6	230400	200000	200000	1	8	567	540	111|121|131|112|122|132	6|6|6|6|6|6
7	345600	500000	500000	1	8	567	735	111|121|131|112|122|132|113	7|7|7|7|7|7|7
8	460800	1000000	1000000	1	9	567	960	111|121|131|112|122|132|113|123	8|8|8|8|8|8|8|8
9	576000	2000000	2000000	1	9	567	1215	111|121|131|112|122|132|113|123|133	9|9|9|9|9|9|9|9|9
