INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
城墙等级	升级所需时间	升级所需金币	升级所需石料	升级前置建筑ID	升级前置建筑等级	建筑图片ID	升级增加国王经验	升级后可驻防的英雄量	驻防军队攻击加成（百分比数值）	驻防军队防御加成（百分比数值）	预警时间（秒）
#level	upgradeCostTime	upgradeCostCoin	upgradeCostStone	upgradePrebuilding	upgradePrebuildingLevel	appearance	addExp	garrisonHeroCount	attackBonus	defenseBonus	earlyWarningTime
1	0	0	0	0	0	567	0	5	5	5	600
2	100	500	500	1	1	567	60	5	6	6	1200
3	3600	2000	2000	1	2	567	135	5	7	7	2400
4	28800	17500	17500	1	3	567	240	5	8	8	3600
5	57600	75000	75000	1	4	567	375	5	10	10	4800
6	115200	325000	325000	1	5	567	540	5	12	12	6000
7	172800	600000	600000	1	6	567	735	5	14	14	7200
8	230400	1000000	1000000	1	7	567	960	5	16	16	8400
9	288000	1500000	1500000	1	8	567	1215	5	18	18	9600
10	403200	2000000	2000000	1	9	567	1500	5	21	21	10800
