INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT								
Index	Quality(品质：0白1绿2蓝3紫4橙)	Type(0武器 1头盔 2铠甲 3战靴)	Name(名称)	图标	"套装ID（10级用10,20级用20）"	Lv(需求等级)	出售价格	0表示按照数值增加有效 1表示 按照百分比增加有效	增加物理攻击	增加魔法攻击	增加物理防御	增加魔法防御	增加移动	增加步兵统兵数量	增加骑兵统兵数量	增加弓手统兵数量	物理攻击强化加成	魔法攻击强化加成	物理防御强化加成	魔法防御强化加成	移动强化加成	步兵统兵数量强化加成	骑兵统兵数量强化加成	弓手统兵数量强化加成
#id	quality	type	name	icon	sets	level	sellprice	attrValueType	physicalAttack	magicAttack	physicalDefense	magicDefense	movespeed	infantryLeadership	cavalryLeadership	archerLeadership								
1	0	0	Equip_1	Inferior_Shortsword	0	1	35	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2	0	0	Equip_2	Apprentice_Staff	0	1	35	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3	0	1	Equip_3	Inferior_Helmet	0	1	35	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
4	0	2	Equip_4	Inferior_Armor	0	1	35	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0
5	0	3	Equip_5	Inferior_boots	0	1	35	0	1	0	1	0	80	0	0	0	1	0	0	0	10	0	0	0
6	0	0	Equip_6	Broken_machete	0	3	60	0	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
7	0	0	Equip_7	Blacksmith_Hammer	0	3	60	0	8	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
8	0	1	Equip_8	Damaged_Helmet	0	3	60	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0
9	0	2	Equip_9	Damaged_Armor	0	3	60	0	0	0	3	0	0	0	0	0	2	2	0	0	0	0	0	0
10	0	3	Equip_10	Damaged_Boots	0	3	60	0	0	2	0	0	105	0	0	0	0		0	0	15	0	0	0
11	1	0	Equip_11	Sword_of_the_Night	1	4	60	0	13	13	0	0	0	0	0	0	3	3	0	0	0	0	0	0
12	1	1	Equip_12	Helmet_of_the_Night	1	4	60	0	0	0	3	0	0	0	0	0	3	3	0	0	0	0	0	0
13	1	2	Equip_13	Armor_of_the_Night	1	4	60	0	0	0	4	0	0	0	0	0	3	3	0	0	0	0	0	0
14	1	3	Equip_14	Boots_of_the_Night	1	4	60	0	3	0	0	0	130	0	0	0	0	0	0	0	20	0	0	0
15	0	0	Equip_15	Old_hammer	0	5	80	0	15	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
16	0	0	Equip_16	Old_Staff	0	5	80	0	0	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0
17	0	1	Equip_17	Old_Helmet	0	5	80	0	0	0	4	0	0	0	0	0	4	4	0	0	0	0	0	0
18	0	2	Equip_18	Old_Armor	0	5	80	0	0	0	5	0	0	0	0	0	4	4	0	0	0	0	0	0
19	0	3	Equip_19	Old_Boots	0	5	80	0	3	0	0	0	155	0	0	0	0	0	0	0	25	0	0	0
20	0	0	Equip_20	Guard_Shortbow	0	7	80	0	18	18	0	0	0	0	0	0	4	4	0	0	0	0	0	0
21	0	0	Equip_21	Short_Scimitar	0	7	80	0	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
22	0	1	Equip_22	Light_Helmet	0	7	80	0	0	0	5	0	0	0	0	0	4	4	0	0	0	0	0	0
23	0	2	Equip_23	Light_Armor	0	7	80	0	0	0	6	0	0	0	0	0	4	4	0	0	0	0	0	0
24	0	3	Equip_24	Light_Boots	0	7	80	0	0	4	0	0	180	0	0	0	0	1	0	0	30	0	0	0
25	0	0	Equip_25	Bronze_edged_Axe	0	9	110	0	24	0	0	1	0	1	0	0	5	0	0				0	0
26	0	0	Equip_26	Bronze_sword	0	9	110	0	26	0	0	1	0	0	0	0	5	0	0		0	0	0	0
27	0	1	Equip_27	Bronze_Helmet	0	9	110	0	0	0	0	6	0	0	0	0	0	0	0		0	0	0	0
28	0	2	Equip_28	Bronze_Armor	0	9	110	0	0	0	0	7	0	0	0	0	5	5	0	0	0	0	0	0
29	0	3	Equip_29	Bronze_Boots	0	9	110	0	5	0	0	0	150	0	0	0	1	0	0	0	25	0	0	0
30	0	0	Equip_30	Wear_Warhammer	0	11	110	0	31	0	1	0	0	0	0	0	5	0		0	0	0	0	0
31	0	0	Equip_31	Metal_Staff	0	11	110	0	0	33	0	0	0	0	0	0	0	5	0	0	0	0	0	0
32	0	1	Equip_32	Veteran_Helmet	0	11	110	0	0	0	7	0	0	0	0	0	6	6	0	0	0	0	0	0
33	0	2	Equip_33	Veteran_Armor	0	11	110	0	0	0	8	0	0	0	0	0	6	6	0	0	0	0	0	0
34	0	3	Equip_34	Veteran_Boots	0	11	110	0	0	6	0	0	180	0	0	0	0	1	0	0	40	0	0	0
35	0	0	Equip_35	Assault_Sword	0	13	130	0	40	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
36	0	0	Equip_36	Bobcats_Bow	0	13	130	0	38	38	0	0	0	0	0	0	6	6	0	0	0	0	0	0
37	0	1	Equip_37	Assault_Helmet	0	13	130	0	0	0	8	0	0	0	0	0	6	6	0	0	0	0	0	0
38	0	2	Equip_38	Assault_Armor	0	13	130	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	3	Equip_39	Assault_Boots	0	13	130	0	7	0	0	0	210	0	0	0	2	0	0	0	45	0	0	0
