INT	INT	ARRAY	STRING
触发条件	对话背景图	指引列表	背景音乐
#id	talkBG	guides	bgMusic
1	1	1|2|3|4|5|6|7|8	bossBattle
2	0	9	
3	0	10|11|12	
4	0	13|14|15	
5	0	16|17|18	
6	0	24|25|26|27	
7	0	80|81|82|83|84|85|86|87|88|89	
8	0	28|29|30	
9	0	37|38|39|40	
10	0	42|43|44|45	
11	0	47|48|49|50	
12	0	41|52|53|54|55	
13	0	56|57|102|58	
14	0	61|62|63|64|65	
15	0	66|67|68	
16	0	1002|1003|69|70|71|72	
17	0	60|75|76|77|78|79	
18	0	19|20	
19	0	21	
20	0	91|92|93|74	
21	0	96	
22	0	97|98	
23	0	100|101|109	
24	0	103|104	
25	0	105|106|107	
26	0	108	
27	0	110|111	
