INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	STRING
怪物ID	种族	头像ID	怪物名称	称号	等级	物理攻击力	魔法攻击力	物理防御	魔法防御	移动	步兵系统兵上限	骑兵系统兵上限	弓兵系统兵上限	技能ID1	技能ID2	能量上限	必然掉落数量	必然掉落物品集	必然掉落权值	也许掉落数量	也许掉落几率	也许掉落物品集	也许掉落权值	名字图片	是否为BOSS（0否1是）	卡片特效	受击音效
#id	race	headResource	name	nickname	level	basePhysicalAttack	baseMagicAttack	physicalDefense	magicDefense	moveSpeed	baseInfantryLeadership	baseCavalryLeadership	baseArcherLeadership	skill1	skill2	maxPower								nameResource	isBoss	cardLightEffect	woundSound
1	3	Lieutenant_Leo	1	Monster_1	1	10	10	0	0	100	999	999	999	19		2	1	1|2	20|20	0	0	0	0	Lieutenant_Leo	1		wound/HumanMaleEnemy
2	3	Rebels_3	2	Monster_2	2	0	0	0	0	100	999	999	999			0	0	0	0	1	17	3|4|5	20|20|20	Aden_footmen	0		wound/HumanMaleEnemy
3	3	Captain_Hannibal	3	Monster_3	2	30	30	0	0	100	999	999	999	20		2	0	0	0	1	50	6|7	20|20	Captain_Hannibal	1		wound/HumanMaleEnemy
4	4	Goblin_1	4	Monster_4	3	0	0	0	0	100	999	999	999			0	0	0	0	1	16	8|9|10	20|20|20	Pointed_ears	0		wound/Goblin
5	4	Geluoke_Poisonspear	5	Monster_5	3	50	50	0	0	100	999	999	999	13		1	0	0	0	1	50	16	20	Geluoke_Poisonspear	1		wound/Goblin
6	4	Goblin_1	6	Monster_6	4	0	0	0	0	100	999	999	999			0	0	0	0	1	15	18|19|20	20|20|20	Pointed_ears_Guard	0		wound/Goblin
7	4	Zach_rich	7	Monster_7	4	75	75	0	0	100	999	999	999	14		1	0	0	0	1	45	17	20	Greedy_Knicks	1		wound/Goblin
8	4	Goblin_1	8	Monster_8	6	0	0	0	0	100	999	999	999			0	0	0	0	1	14	23	20	Pointed_ears_Marauders	0		wound/Goblin
9	4	Lurker_Gates	9	Monster_9	6	170	170	0	0	100	999	999	999	3		1	0	0	0	1	40	22	20	Lurker_Gates	1		wound/Goblin
10	1	Panther_2	10	Monster_10	7	0	0	0	0	100	999	999	999			0	0	0	0	1	13	24|25	20|20	Cheetah_Plains	0		wound/Leopard
11	1	Panther_1	11	Monster_11	7	0	0	0	0	100	999	999	999			0	0	0	0	1	40	21	20	Panthers_Jack	1		wound/Leopard
12	3	Rebels_2	12	Monster_12	8	0	0	0	0	100	999	999	999			0	0	0	0	1	12	28	20	Aden_Rangers	0		wound/HumanMaleEnemy
13	3	Duncan_Hunter	13	Monster_13	8	160	160	0	0	100	999	999	999	7		2	0	0	0	1	35	26	20	Duncan_Hunter	1		wound/NightElfMale
14	1	Bear_2	14	Monster_14	9	0	0	0	0	100	999	999	999			0	0	0	0	1	12	29|30	20|20	Wild_Bear	0		wound/Bear
15	1	Bear_3	15	Monster_15	9	0	0	0	0	100	999	999	999			0	0	0	0	1	35	27	20	Handsome_Ursel	1		wound/Bear
16	2	Orc_3	16	Monster_16	10	0	0	0	0	100	999	999	999			0	0	0	0	1	11	33	20	Howl_Grunt	0		wound/OrcMale
17	2	Orc_5	17	Monster_17	10	0	0	0	0	100	999	999	999			0	0	0	0	1	11	34	20	Howl_Axe_Thrower	0		wound/OrcMale
18	2	Chiefs_Attila	18	Monster_18	10	230	230	0	0	100	999	999	999	6		1	0	0	0	1	35	31	20	Bloody_hands_Visack	1		wound/OrcMale
19	3	Rebels_2	19	Monster_19	11	0	0	0	0	100	999	999	999			0	0	0	0	1	11	35	20	Aden_heavy_cavalry	0		wound/HumanMaleEnemy
20	3	Rebels_3	20	Monster_20	11	0	0	0	0	100	999	999	999			0	0	0	0	1	11	33|34|35	20|20|20	Aden_Swordsman	0		wound/HumanMaleEnemy
21	3	Gerald_Lord	21	Monster_21	11	250	250	0	0	100	999	999	999	22		2	0	0	0	1	30	32	20	Gerald_Lord	1		wound/HumanMaleEnemy
